series,update,position_policy_kl,family_policy_kl,positions,opening_families
cnn validation,0,2.015233278274536,1.500084638595581,1387635.0,2811.0000240802765
cnn validation,256,0.4380214214324951,0.3142740726470947,1387635.0,2811.0000240802765
cnn validation,512,0.31920313835144043,0.2283027172088623,1387635.0,2811.0000240802765
cnn validation,768,0.2726224660873413,0.1903693675994873,1387635.0,2811.0000240802765
cnn validation,1024,0.24944186210632324,0.1789555549621582,1387635.0,2811.0000240802765
cnn validation,1280,0.22270357608795166,0.15564680099487305,1387635.0,2811.0000240802765
cnn validation,1536,0.20054888725280762,0.14116477966308594,1387635.0,2811.0000240802765
cnn validation,1792,0.1881955862045288,0.13419294357299805,1387635.0,2811.0000240802765
cnn validation,2048,0.177911639213562,0.12455916404724121,1387635.0,2811.0000240802765
cnn validation,2304,0.16973161697387695,0.11736440658569336,1387635.0,2811.0000240802765
cnn validation,2560,0.16317832469940186,0.11238360404968262,1387635.0,2811.0000240802765
cnn validation,2816,0.15850889682769775,0.1078484058380127,1387635.0,2811.0000240802765
cnn validation,3072,0.14692676067352295,0.1016840934753418,1387635.0,2811.0000240802765
cnn validation,3328,0.14039373397827148,0.096832275390625,1387635.0,2811.0000240802765
cnn validation,3584,0.13769936561584473,0.09434628486633301,1387635.0,2811.0000240802765
cnn validation,3840,0.13153457641601562,0.09153223037719727,1387635.0,2811.0000240802765
cnn validation,4096,0.12851834297180176,0.09000468254089355,1387635.0,2811.0000240802765
cnn training probe,0,1.8633993864059448,1.7371878623962402,388049.0,2204.999973297119
cnn training probe,256,0.37510597705841064,0.3771018981933594,388049.0,2204.999973297119
cnn training probe,512,0.2565089464187622,0.2708401679992676,388049.0,2204.999973297119
cnn training probe,768,0.2070227861404419,0.22363758087158203,388049.0,2204.999973297119
cnn training probe,1024,0.18604493141174316,0.20440196990966797,388049.0,2204.999973297119
cnn training probe,1280,0.16151666641235352,0.1795196533203125,388049.0,2204.999973297119
cnn training probe,1536,0.14310550689697266,0.16070127487182617,388049.0,2204.999973297119
cnn training probe,1792,0.13245701789855957,0.1496264934539795,388049.0,2204.999973297119
cnn training probe,2048,0.12070286273956299,0.13806653022766113,388049.0,2204.999973297119
cnn training probe,2304,0.11218047142028809,0.12919771671295166,388049.0,2204.999973297119
cnn training probe,2560,0.10549521446228027,0.12209320068359375,388049.0,2204.999973297119
cnn training probe,2816,0.09937191009521484,0.11612105369567871,388049.0,2204.999973297119
cnn training probe,3072,0.09179222583770752,0.10837149620056152,388049.0,2204.999973297119
cnn training probe,3328,0.08590817451477051,0.10195398330688477,388049.0,2204.999973297119
cnn training probe,3584,0.08185386657714844,0.09752762317657471,388049.0,2204.999973297119
cnn training probe,3840,0.07820689678192139,0.09383976459503174,388049.0,2204.999973297119
cnn training probe,4096,0.07583117485046387,0.09081387519836426,388049.0,2204.999973297119
transformer validation,0,2.2068824768066406,1.716614007949829,1387635.0,2811.0000240802765
transformer validation,256,0.4940047264099121,0.3583250045776367,1387635.0,2811.0000240802765
transformer validation,512,0.36985278129577637,0.2662312984466553,1387635.0,2811.0000240802765
transformer validation,768,0.3112446069717407,0.21988916397094727,1387635.0,2811.0000240802765
transformer validation,1024,0.2631014585494995,0.18761754035949707,1387635.0,2811.0000240802765
transformer validation,1280,0.23863589763641357,0.16607666015625,1387635.0,2811.0000240802765
transformer validation,1536,0.2160642147064209,0.15363192558288574,1387635.0,2811.0000240802765
